account_id,balance_actual,num_transacciones,gasto_total,gasto_promedio_diario,aceleracion_gasto,deuda_total,pago_mensual_total,ratio_deuda_balance,ratio_pago_balance,dias_hasta_agotar,burnout
acc_burnout_001,4200,4,619.4,154.85,1.014111922141119,7000.0,220.0,1.6666666666666667,0.05238095238095238,27.123022279625445,1
acc_burnout_002,3600,4,684.0,171.0,0.9739130434782609,8200.0,260.0,2.2777777777777777,0.07222222222222222,21.05263157894737,1
acc_burnout_003,2800,4,600.0,150.0,1.1578947368421053,5000.0,180.0,1.7857142857142858,0.06428571428571428,18.666666666666668,1
acc_burnout_004,2400,4,556.0,139.0,0.05166051660516605,4500.0,140.0,1.875,0.058333333333333334,17.26618705035971,1
acc_burnout_005,1950,4,710.0,177.5,0.7307692307692307,3800.0,140.0,1.9487179487179487,0.07179487179487179,10.985915492957746,1
acc_normal_001,5600,3,330.0,110.0,0.75,1500.0,60.0,0.26785714285714285,0.010714285714285714,50.90909090909091,0
acc_normal_002,6800,2,180.0,90.0,-0.2,1200.0,35.0,0.17647058823529413,0.005147058823529412,75.55555555555556,0
acc_normal_003,6900,3,300.0,100.0,1.0,1000.0,50.0,0.14492753623188406,0.007246376811594203,69.0,0
acc_normal_004,7100,2,200.0,100.0,-0.3333333333333333,1500.0,45.0,0.2112676056338028,0.006338028169014085,71.0,0
acc_normal_005,7400,3,260.0,86.66666666666667,1.25,1000.0,40.0,0.13513513513513514,0.005405405405405406,85.38461538461539,0
